,Date,Open,High,Low,Close,Adj_Close,Volume,SlowD,SlowK,WILLR,MACD,MACD_Signal,MACD_Hist,RSI,ADX,CCI,Chaikin A/D,OBV,Axis Bank,isPartial,SMA3_GoogleTrends,EMA3_GoogleTrends,SMA5_GoogleTrends,EMA5_GoogleTrends
0,2007-03-08,84.73,90.0,82.41,87.22,53.0452,4318735,31.1875,28.0967,-69.6843,-4.1023,-1.9919,-2.1104,28.2203,43.0987,-85.9803,-88695641.9275,387207475.0000,0.0,False,0.0,3.0,0.0,5.0
1,2007-03-09,87.98,93.58,85.4,91.28,55.5144,4839985,34.1700,48.6871,-44.2022,-4.3635,-2.4662,-1.8973,35.2216,43.6819,-26.3314,-86577412.4336,392047460.0000,0.0,False,0.0,3.0,0.0,5.0
2,2007-03-12,90.2,94.59,90.2,91.81,55.8368,3205705,48.7047,69.3304,-40.6147,-4.3413,-2.8412,-1.5001,39.6865,43.6938,23.4586,-87431778.2849,395253165.0000,0.0,False,0.0,0.0,0.0,5.0
3,2007-03-13,91.42,100.24,91.42,98.72,60.0393,5450040,67.9299,85.7721,-7.2415,-4.1772,-3.1084,-1.0688,42.1224,41.1686,125.3260,-83860206.4141,400703205.0000,0.0,False,0.0,0.0,0.0,0.0
4,2007-03-14,97.0,97.0,92.7,94.56,57.5093,6524695,78.6763,80.9265,-27.0605,-3.5558,-3.1979,-0.3579,51.9787,38.8958,65.6804,-84740282.4570,394178510.0000,0.0,False,0.0,0.0,0.0,0.0
5,2007-03-15,96.39,99.28,93.01,93.86,57.0835,2745740,79.7784,72.6367,-30.3954,-3.0772,-3.1738,0.0966,50.9253,35.8938,78.4550,-86741563.9655,391432770.0000,0.0,False,0.0,0.0,0.0,0.0
6,2007-03-16,95.14,95.4,87.3,89.74,54.5779,3427260,67.1886,48.0026,-50.0238,-2.7668,-3.0924,0.3256,48.6791,34.8641,-1.4670,-88104009.5714,388005510.0000,0.0,False,0.0,0.0,0.0,0.0
7,2007-03-19,91.0,95.1,88.42,94.01,57.1748,2603500,54.4041,42.5730,-29.6808,-2.8223,-3.0384,0.2160,41.8812,33.9374,28.2352,-86350151.6630,390609010.0000,0.0,False,0.0,0.0,0.0,0.0
8,2007-03-20,96.0,96.2,91.7,92.56,56.2929,2271440,42.9272,38.2058,-36.5889,-2.4348,-2.9176,0.4828,51.0536,32.5781,39.7654,-87753395.8090,388337570.0000,0.0,False,0.0,0.0,0.0,0.0
9,2007-03-21,93.0,97.0,92.6,96.22,58.5188,3382785,45.8395,56.7395,-22.5463,-2.3428,-2.8027,0.4599,46.1934,30.9614,70.4999,-85569959.7717,391720355.0000,0.0,False,0.0,0.0,0.0,0.0
10,2007-03-22,97.6,101.78,97.02,100.78,61.2921,4426920,55.1438,70.4859,-6.1050,-1.8771,-2.6176,0.7405,53.7023,28.2999,166.7344,-83003089.4103,396147275.0000,0.0,False,0.0,0.0,0.0,0.0
11,2007-03-23,100.98,106.0,98.31,104.93,63.8161,4976825,71.4602,87.1550,-5.7219,-1.2211,-2.3383,1.1171,58.4378,27.3285,189.4288,-79411232.2556,401124100.0000,0.0,False,0.0,0.0,0.0,0.0
12,2007-03-26,105.85,108.8,103.36,103.91,63.1957,3109825,81.2593,86.1370,-22.7442,-0.3048,-1.9316,1.6268,64.2858,27.2594,158.2750,-81892229.1487,398014275.0000,0.0,False,0.0,0.0,0.0,0.0
13,2007-03-28,103.8,104.8,97.2,99.07,60.2521,3901640,80.5701,68.4184,-45.2558,0.2530,-1.4947,1.7477,60.3164,24.7318,53.6731,-83873850.0053,394112635.0000,0.0,False,0.0,0.0,0.0,0.0
14,2007-03-29,101.0,103.03,94.63,96.0,58.385,6799245,64.9640,40.3367,-59.5349,0.4638,-1.1030,1.5668,55.1485,22.9045,8.2921,-88455241.7125,387313390.0000,0.0,False,0.0,0.0,0.0,0.0
15,2007-03-30,97.4,98.9,96.5,98.08,59.6501,3457525,44.4688,24.6513,-49.8605,0.3365,-0.8151,1.1516,49.1345,21.2599,3.2739,-87360356.8270,390770915.0000,0.0,False,0.0,0.0,0.0,0.0
16,2007-04-02,93.99,94.58,90.0,91.86,55.8672,4711970,26.5415,14.6364,-83.1207,-0.0390,-0.6599,0.6208,44.0758,21.7010,-106.0777,-88245136.8336,386058945.0000,0.0,False,0.0,0.0,0.0,0.0
17,2007-04-03,93.2,94.6,91.05,93.1,56.6213,2923720,19.2278,18.3956,-83.5107,-0.3959,-0.6071,0.2112,42.9379,22.0892,-93.6310,-87792169.6093,388982665.0000,0.0,False,0.0,0.0,0.0,0.0
18,2007-04-04,93.2,95.6,91.03,91.74,55.7942,3477985,15.9210,14.7311,-90.7447,-0.6710,-0.6198,-0.0511,42.9379,21.9673,-92.5042,-90189469.0897,385504680.0000,0.0,False,0.0,0.0,0.0,0.0
19,2007-04-05,93.0,93.0,87.0,90.29,54.9124,6117695,17.9252,20.6489,-84.9083,-0.8948,-0.6748,-0.2199,42.5942,22.9958,-113.3799,-89598089.8671,379386985.0000,0.0,False,0.0,0.0,0.0,0.0
20,2007-04-09,91.0,100.96,91.0,99.87,60.7387,7976545,26.5926,44.3976,-40.9633,-1.2195,-0.7838,-0.4357,39.1152,20.7483,5.0699,-83367408.9267,387363530.0000,0.0,False,0.0,0.0,0.0,0.0
21,2007-04-10,100.0,101.0,96.66,97.86,59.5163,4288720,43.6167,65.8035,-50.1835,-0.7420,-0.7754,0.0334,56.7698,18.7121,36.6322,-85284490.2737,383074810.0000,0.0,False,0.0,0.0,0.0,0.0
22,2007-04-11,97.86,98.99,93.01,93.56,56.9011,3129430,60.8027,72.2069,-63.1461,-0.5302,-0.7264,0.1962,52.7302,18.0693,-7.2509,-87838276.4163,379945380.0000,0.0,False,0.0,0.0,0.0,0.0
23,2007-04-12,93.0,93.0,90.45,92.65,56.3477,2339825,64.3130,54.9286,-64.7536,-0.7459,-0.7303,-0.0156,44.7034,18.2378,-65.7511,-86140751.8923,377605555.0000,0.0,False,0.0,0.0,0.0,0.0
24,2007-04-13,93.8,95.6,93.12,93.78,57.0349,5925400,55.5761,39.5928,-51.5714,-0.8426,-0.7527,-0.0898,46.2013,17.3395,-3.6725,-88912322.7125,383530955.0000,0.0,False,0.0,0.0,0.0,0.0
25,2007-04-16,95.0,95.68,93.54,93.78,57.0349,5367455,43.0055,34.4950,-51.5714,-0.8130,-0.7648,-0.0482,48.5251,16.4984,13.2740,-93075872.0423,383530955.0000,0.0,False,0.0,0.0,0.0,0.0
26,2007-04-17,95.0,95.0,92.66,93.02,56.5727,8079980,35.0539,31.0739,-57.0000,-0.7806,-0.7679,-0.0126,48.5251,16.0623,-19.4270,-98669748.4420,375450975.0000,0.0,False,0.0,0.0,0.0,0.0
27,2007-04-18,94.03,95.2,93.62,94.26,57.3268,8267210,36.8015,44.8356,-48.1428,-0.8236,-0.7791,-0.0445,46.5198,15.5709,5.0539,-100239456.8910,383718185.0000,0.0,False,0.0,0.0,0.0,0.0
28,2007-04-19,93.99,94.18,91.25,92.92,56.5119,4551110,40.9298,46.8800,-57.7143,-0.8512,-0.7935,-0.0577,46.4319,16.0532,-56.6673,-99602618.3601,379167075.0000,0.0,False,0.0,0.0,0.0,0.0
29,2007-04-20,94.0,94.58,92.02,93.25,56.7126,2682765,47.8711,51.8977,-73.4597,-0.8622,-0.8072,-0.0550,46.4600,16.2567,-57.6115,-99707412.6153,381849840.0000,0.0,False,0.0,0.0,0.0,0.0
30,2007-04-23,94.08,94.4,92.0,92.59,56.3112,2010015,45.9002,38.9227,-79.7157,-0.8547,-0.8167,-0.0380,46.7086,16.4487,-63.0055,-100729177.7639,379839825.0000,0.0,False,0.0,0.0,0.0,0.0
31,2007-04-24,92.2,95.7,91.6,93.64,56.9497,12866545,45.0267,44.2595,-62.6464,-0.9891,-0.8512,-0.1379,41.6588,15.7795,1.1052,-100791931.9988,392706370.0000,0.0,False,0.0,0.0,0.0,0.0
32,2007-04-25,94.98,94.98,93.2,93.54,56.8889,6051275,43.1821,46.3642,-41.1428,-0.8613,-0.8532,-0.0081,50.4588,15.1772,45.4477,-104531464.5608,386655095.0000,0.0,False,0.0,0.0,0.0,0.0
33,2007-04-26,94.56,94.6,92.22,93.16,56.6578,8591595,46.1210,47.7392,-57.0785,-0.7848,-0.8395,0.0547,49.2127,15.1963,-46.2533,-106336391.2794,378063500.0000,0.0,False,0.0,0.0,0.0,0.0
34,2007-04-27,93.23,93.8,90.61,91.0,55.3442,3296085,42.1647,32.3906,-92.3379,-0.8221,-0.8361,0.0139,45.2785,16.0762,-189.6278,-108826539.5722,374767415.0000,0.0,False,0.0,0.0,0.0,0.0
35,2007-04-30,88.0,93.94,87.24,93.64,56.9497,5118745,40.1945,40.4537,-24.3499,-1.2592,-0.9207,-0.3385,33.5572,18.3247,-152.7081,-104166193.9571,379886160.0000,0.0,False,0.0,0.0,0.0,0.0
36,2007-05-03,94.0,96.4,93.98,94.65,57.564,11572475,42.5267,54.7358,-19.1048,-1.1086,-0.9583,-0.1503,50.0424,18.4843,148.5441,-109330776.4931,391458635.0000,0.0,False,12.333333333333332,18.7397744690592,7.4,6.957400604944473
37,2007-05-04,95.4,97.8,94.8,96.02,58.3972,14412590,58.3620,79.8964,-16.8561,-0.8663,-0.9399,0.0736,53.0617,17.6878,185.4625,-112021184.2768,405871225.0000,0.0,False,0.0,0.0,7.4,8.93347921082737
38,2007-05-07,97.2,101.98,96.61,101.32,61.6205,23839815,73.7176,86.5205,-4.4776,-0.5230,-0.8565,0.3335,56.7922,17.1482,223.0391,-94041459.9879,429711040.0000,0.0,False,0.0,0.0,0.0,0.0
39,2007-05-08,101.0,103.1,99.8,101.34,61.6327,7841210,85.2022,89.1897,-11.0971,0.0550,-0.6742,0.7292,63.5816,17.1703,169.3553,-94564229.4984,437552250.0000,27.0,False,9.0,5.030740527097885,5.4,3.079369541287979
40,2007-05-09,101.0,104.0,99.82,103.63,63.0254,6258505,89.7626,93.5775,-2.2077,0.5073,-0.4379,0.9452,63.5816,17.5963,133.6682,-89413698.4819,443810755.0000,27.0,False,18.0,13.32502944149734,10.8,7.033358299675816
41,2007-05-10,103.63,108.0,103.5,104.71,63.6823,11117305,89.8431,86.7620,-15.8478,1.0657,-0.1372,1.2028,67.8925,19.5141,132.7430,-94552368.8452,454928060.0000,0.0,False,18.0,21.969259472902113,10.8,9.031010821455425
42,2007-05-11,100.22,105.4,100.22,104.09,63.3052,4915005,86.4526,79.0182,-18.8343,1.2189,0.1340,1.0849,58.0015,19.1741,77.6697,-92123342.5313,450013055.0000,0.0,False,9.0,13.674970558502658,10.8,11.596047433130805
43,2007-05-14,104.6,105.8,104.2,105.09,63.9134,1916160,78.0667,68.4198,-14.0174,1.6746,0.4421,1.2324,65.2307,19.0363,87.1405,-91907784.9204,451929215.0000,0.0,False,0.0,0.0,0.0,0.0
44,2007-05-15,105.2,107.78,104.47,106.85,64.9838,4269415,73.1599,72.0417,-5.5395,2.0603,0.7658,1.2945,66.1184,19.7291,95.3897,-90037501.4120,456198630.0000,0.0,False,0.0,0.0,0.0,0.0
45,2007-05-16,107.4,108.98,107.4,108.39,65.9204,4440755,73.9003,81.2394,-3.9334,2.5145,1.1155,1.3990,69.3105,20.8169,117.7864,-88913280.0256,460639385.0000,0.0,False,0.0,0.0,0.0,0.0
46,2007-05-17,108.65,109.7,108.0,108.78,69.0232,5110990,81.0383,89.8338,-6.1745,2.9415,1.4807,1.4608,71.0334,22.0744,111.3679,-89334182.8208,465750375.0000,0.0,False,0.0,0.0,0.0,0.0
47,2007-05-18,107.0,110.2,104.0,107.35,68.1158,3123850,83.4236,79.1975,-20.9713,3.1108,1.8067,1.3041,65.6296,20.5578,64.8417,-89082259.8156,462626525.0000,0.0,False,0.0,0.0,0.0,0.0
48,2007-05-21,106.0,111.6,106.0,111.15,70.527,3506225,82.8334,79.4689,-3.8135,3.1283,2.0710,1.0572,62.4314,19.8600,111.9941,-86139530.4544,466132750.0000,0.0,False,0.0,0.0,0.0,0.0
49,2007-05-22,111.4,114.03,111.4,113.3,71.8912,4481485,79.6480,80.2777,-5.1372,3.5371,2.3643,1.1728,70.9309,20.2816,164.5215,-84145855.2306,470614235.0000,0.0,False,0.0,0.0,0.0,0.0
50,2007-05-23,113.4,118.38,112.83,116.26,73.7694,5550275,83.4776,90.6861,-11.6740,3.9766,2.6867,1.2899,73.4068,22.1382,178.8141,-82835784.1402,476164510.0000,25.0,False,8.333333333333332,4.658093080646189,5.0,2.851268093785166
51,2007-05-24,115.8,116.1,111.6,114.38,72.5765,5014770,84.7838,83.3876,-22.0264,4.4671,3.0428,1.4243,76.1188,23.0093,103.1245,-81654529.4357,471149740.0000,0.0,False,8.333333333333332,7.679897142962459,5.0,3.66110070221096
52,2007-05-25,112.4,115.8,111.91,112.89,71.631,4174120,81.7018,71.0317,-38.1780,4.5293,3.3401,1.1892,65.5898,23.7933,71.8518,-83725504.0470,466975620.0000,0.0,False,8.333333333333332,12.66200977639135,5.0,4.700946354692212
53,2007-05-28,115.1,117.4,110.64,111.06,70.4699,3855170,66.2802,44.4214,-50.9040,4.7417,3.6204,1.1213,69.3328,25.0845,47.6125,-87101630.6073,463120450.0000,0.0,False,0.0,0.0,0.0,0.0
54,2007-05-29,111.0,113.04,111.0,112.38,71.3074,1358840,47.7690,27.8537,-41.7246,4.5271,3.8017,0.7253,58.5814,26.2465,16.5173,-86622044.9168,464479290.0000,0.0,False,0.0,0.0,0.0,0.0
55,2007-05-30,112.0,114.8,110.0,111.96,71.0409,3433430,30.1354,18.1311,-44.6453,4.3871,3.9188,0.4683,60.2518,27.9451,10.5222,-87251510.2666,461045860.0000,0.0,False,0.0,0.0,0.0,0.0
56,2007-05-31,114.8,116.0,111.0,114.99,72.9635,4085260,28.2616,38.7998,-23.5744,4.4508,4.0252,0.4256,64.6830,29.8852,59.7812,-84816698.5748,465131120.0000,0.0,False,0.0,0.0,0.0,0.0
57,2007-06-01,116.0,117.6,114.61,115.4,73.2237,3485335,37.3072,54.9905,-24.0710,4.5457,4.1293,0.4164,66.4633,32.1418,127.6819,-86460280.4658,468616455.0000,0.0,False,0.0,0.0,0.0,0.0
58,2007-06-04,117.98,117.98,110.26,115.17,73.0778,1538910,53.8492,67.7573,-38.3055,4.7262,4.2487,0.4775,69.3005,30.7193,42.9295,-86041666.8996,467077545.0000,0.0,False,0.0,0.0,0.0,0.0
59,2007-06-05,115.75,117.0,113.0,115.74,73.4394,4840285,64.0014,69.2565,-31.5036,4.6359,4.3261,0.3097,62.6661,29.4390,76.6171,-84250766.2898,471917830.0000,0.0,False,0.0,0.0,0.0,0.0
60,2007-06-06,119.21,119.74,113.6,115.11,73.0397,2058865,66.5465,62.6257,-47.5359,4.7883,4.4186,0.3697,67.9549,29.5161,127.1258,-85296962.7796,469858965.0000,27.0,False,9.0,5.030740527097885,5.4,3.079369541287979
61,2007-06-07,111.2,115.74,111.2,113.98,72.3227,1008280,61.9975,54.1102,-59.1375,4.2141,4.3777,-0.1635,49.8061,27.9290,-23.3988,-85070430.5186,468850685.0000,0.0,False,9.0,8.294288914399456,5.4,3.953988758387837
62,2007-06-08,112.0,113.38,111.2,111.79,70.9331,2732700,50.7498,35.5134,-81.6222,3.7801,4.2582,-0.4780,51.2509,26.5006,-94.0208,-86323952.6005,466117985.0000,0.0,False,9.0,13.674970558502658,5.4,5.077022063067588
63,2007-06-11,112.8,113.97,112.0,113.17,71.8087,1026165,38.5909,26.1492,-67.4538,3.4608,4.0987,-0.6379,52.7617,25.5360,-45.0652,-86131223.8053,467144150.0000,0.0,False,0.0,0.0,0.0,0.0
64,2007-06-12,113.46,118.0,112.21,117.27,74.4102,4532040,32.8080,36.7615,-25.3594,3.2238,3.9237,-0.6999,54.0666,26.4976,83.4088,-82741982.5013,471676190.0000,0.0,False,0.0,0.0,0.0,0.0
65,2007-06-13,117.2,118.4,115.04,117.01,74.2453,1844260,40.3969,58.2799,-28.7974,3.2998,3.7989,-0.4991,60.8721,27.5167,110.7125,-82423627.6424,469831930.0000,0.0,False,0.0,0.0,0.0,0.0
66,2007-06-14,117.6,119.3,115.67,117.17,74.3468,3513915,56.7333,75.1585,-27.1097,3.3536,3.7099,-0.3563,61.5491,28.7879,111.4469,-83033484.6590,473345845.0000,0.0,False,0.0,0.0,0.0,0.0
67,2007-06-15,117.56,120.78,117.05,119.95,76.1108,2900270,71.6955,81.6483,-7.8898,3.3544,3.6388,-0.2844,61.4310,30.4861,152.3659,-81423955.9362,476246115.0000,0.0,False,0.0,0.0,0.0,0.0
