,Date,Open,High,Low,Close,Adj_Close,Volume
0,2000-01-03,5.1,5.18,5.1,5.18,0.9778,82500
1,2000-01-04,5.4,5.51,5.08,5.38,1.0156,494000
2,2000-01-05,5.01,5.42,5.0,5.24,0.9892,383000
3,2000-01-06,5.3,5.3,5.0,5.11,0.9646,164500
4,2000-01-07,5.0,5.22,4.8,4.86,0.9174,149000
5,2000-01-10,5.15,5.24,5.0,5.01,0.9457,214000
6,2000-01-11,5.0,5.1,4.62,4.76,0.8986,174000
7,2000-01-12,4.74,4.9,4.72,4.78,0.9023,85000
8,2000-01-13,4.8,4.9,4.7,4.72,0.891,75500
9,2000-01-14,4.63,4.72,4.6,4.68,0.8835,83000
10,2000-01-17,5.0,5.05,5.0,5.05,0.9533,258500
11,2000-01-18,5.3,5.3,4.95,5.03,0.9495,249500
12,2000-01-19,5.2,5.2,5.0,5.1,0.9627,126000
13,2000-01-20,5.1,5.18,4.8,4.86,0.9174,197000
14,2000-01-21,4.8,5.0,4.8,4.98,0.9401,270500
15,2000-01-24,5.1,5.36,4.98,5.04,0.9514,381000
16,2000-01-25,4.98,5.1,4.94,4.96,0.9363,305500
17,2000-01-27,4.9,5.35,4.9,5.32,1.0043,391000
18,2000-01-28,5.51,5.74,5.4,5.74,1.0835,338000
19,2000-01-31,6.18,6.19,6.18,6.19,1.1685,372500
20,2000-02-01,6.58,6.68,6.58,6.68,1.261,72000
21,2000-02-02,7.21,7.21,7.21,7.21,1.361,26500
22,2000-02-03,7.78,7.78,7.78,7.78,1.4686,71000
23,2000-02-04,8.4,8.4,8.4,8.4,1.5857,90500
24,2000-02-07,9.07,9.07,7.86,7.95,1.5007,2919500
25,2000-02-08,8.2,8.4,7.5,7.74,1.4611,1300000
26,2000-02-09,7.91,7.96,7.13,7.37,1.3912,641500
27,2000-02-10,7.62,7.95,7.3,7.95,1.5007,1025000
28,2000-02-11,8.54,8.58,8.2,8.3,1.5668,3139500
29,2000-02-14,8.96,8.96,7.64,7.64,1.4422,1199500
30,2000-02-15,7.4,7.58,7.07,7.17,1.3535,755000
31,2000-02-16,7.2,7.74,7.2,7.66,1.446,328500
32,2000-02-17,7.8,7.86,7.46,7.5,1.4158,282000
33,2000-02-18,7.4,7.55,6.91,7.05,1.3308,448500
34,2000-02-21,7.49,7.6,7.1,7.19,1.3573,360500
35,2000-02-22,7.44,7.5,6.7,6.92,1.3063,331500
36,2000-02-23,6.78,7.14,6.6,6.74,1.2723,227500
37,2000-02-24,6.8,7.27,6.6,7.27,1.3724,367000
38,2000-02-25,7.82,7.84,7.05,7.83,1.4781,681000
39,2000-02-28,8.45,8.45,7.6,7.94,1.4988,812000
40,2000-02-29,8.39,8.4,7.32,7.32,1.3818,1267500
41,2000-03-01,7.55,7.9,7.2,7.9,1.4913,358000
42,2000-03-02,8.0,8.1,7.42,7.47,1.4101,401500
43,2000-03-03,7.3,7.38,6.88,7.08,1.3365,505000
44,2000-03-06,7.6,7.6,6.86,6.99,1.3195,258500
45,2000-03-07,7.1,7.1,6.52,6.69,1.2629,338500
46,2000-03-08,6.6,6.7,6.16,6.16,1.1628,281000
47,2000-03-09,5.81,6.09,5.67,5.67,1.0703,197500
48,2000-03-10,5.35,5.7,5.22,5.7,1.076,427000
49,2000-03-13,6.02,6.15,5.3,5.53,1.0439,230255
50,2000-03-14,5.6,5.97,5.54,5.96,1.1251,241300
51,2000-03-15,5.74,6.1,5.74,5.96,1.1251,151005
52,2000-03-16,5.86,6.42,5.71,6.07,1.1458,543925
53,2000-03-21,5.7,6.55,5.7,6.32,1.193,119000
54,2000-03-22,6.4,6.46,6.2,6.38,1.2044,150505
55,2000-03-23,6.5,6.54,6.01,6.23,1.176,158000
56,2000-03-24,6.1,6.38,6.0,6.11,1.1534,338495
57,2000-03-27,6.58,6.58,6.14,6.2,1.1704,116500
58,2000-03-28,6.37,6.6,6.12,6.6,1.2459,95125
59,2000-03-29,6.6,7.12,6.6,7.1,1.3403,145000
60,2000-03-30,7.5,7.65,7.0,7.45,1.4063,173870
61,2000-03-31,7.2,8.04,7.2,7.91,1.4932,327505
62,2000-04-03,8.5,8.54,7.4,7.8,1.4724,480885
63,2000-04-04,7.5,7.6,7.18,7.18,1.3554,123115
64,2000-04-05,7.15,7.4,6.61,6.97,1.3157,336750
65,2000-04-06,6.93,7.0,6.5,6.78,1.2799,124220
66,2000-04-07,6.85,7.32,6.8,7.32,1.3818,198625
67,2000-04-10,7.89,7.89,7.23,7.5,1.4158,216500
68,2000-04-11,7.3,7.48,7.18,7.47,1.4101,183500
69,2000-04-12,7.74,7.8,7.2,7.26,1.3705,89500
70,2000-04-13,7.4,7.4,6.97,7.0,1.3214,115875
71,2000-04-17,6.6,6.94,6.45,6.81,1.2855,128385
72,2000-04-18,6.62,7.0,6.62,6.89,1.3006,59875
73,2000-04-19,7.18,7.18,6.6,6.84,1.2912,138000
74,2000-04-20,6.6,6.7,6.45,6.59,1.244,110750
75,2000-04-24,6.66,6.8,6.5,6.52,1.2308,99250
76,2000-04-25,6.4,6.4,6.07,6.34,1.1968,110625
77,2000-04-26,6.5,6.84,6.5,6.84,1.2912,115150
78,2000-04-27,6.72,7.2,6.72,7.12,1.3441,121125
79,2000-04-28,7.05,7.25,6.85,7.05,1.6006,180950
80,2000-05-02,7.6,7.6,6.8,7.0,1.5893,306100
