,Date,Open,High,Low,Close,Adj_Close,Volume,SlowD,SlowK,WILLR,MACD,MACD_Signal,MACD_Hist,RSI,ADX,CCI,Chaikin A/D,OBV
0,2000-02-17,7.8,7.86,7.46,7.5,1.4158,282000,24.1228,19.7531,-78.5000,0.7759,0.7358,0.0401,55.0398,23.2628,-50.8876,-4788646.2455,-1112500.0000
1,2000-02-18,7.4,7.55,6.91,7.05,1.3308,448500,20.4926,20.2658,-93.5185,0.7222,0.7331,-0.0108,51.9009,21.4223,-115.7220,-5040927.4955,-1561000.0000
2,2000-02-21,7.49,7.6,7.1,7.19,1.3573,360500,19.9012,19.6848,-86.3415,0.6792,0.7223,-0.0431,52.5770,19.8626,-77.4985,-5271647.4955,-1200500.0000
3,2000-02-22,7.44,7.5,6.7,6.92,1.3063,331500,19.4578,18.4228,-90.2655,0.6337,0.7046,-0.0709,52.1247,18.1711,-111.5418,-5420822.4955,-1532000.0000
4,2000-02-23,6.78,7.14,6.6,6.74,1.2723,227500,19.3192,19.8501,-94.0678,0.5382,0.6713,-0.1331,46.2850,16.8671,-119.6643,-5530359.5325,-1759500.0000
5,2000-02-24,6.8,7.27,6.6,7.27,1.3724,367000,23.5439,32.3589,-71.6102,0.4588,0.6288,-0.1700,46.4869,15.3625,-66.5489,-5163359.5325,-1392500.0000
6,2000-02-25,7.82,7.84,7.05,7.83,1.4781,681000,37.1035,59.1016,-47.8814,0.4728,0.5976,-0.1248,55.8820,14.9984,53.8800,-4499600.0388,-711500.0000
7,2000-02-28,8.45,8.45,7.6,7.94,1.4988,812000,57.0008,79.5420,-27.5676,0.5286,0.5838,-0.0552,60.6260,15.8761,161.2929,-4662000.0388,100500.0000
8,2000-02-29,8.39,8.4,7.32,7.32,1.3818,1267500,69.6084,70.1816,-61.0811,0.5615,0.5793,-0.0178,59.9439,15.8601,67.1096,-5929500.0388,-1167000.0000
9,2000-03-01,7.55,7.9,7.2,7.9,1.4913,358000,70.0881,60.5405,-29.7297,0.5139,0.5662,-0.0524,51.0155,15.4978,58.6073,-5571500.0388,-809000.0000
10,2000-03-02,8.0,8.1,7.42,7.47,1.4101,401500,59.0395,46.3964,-52.9730,0.5066,0.5543,-0.0477,55.0047,15.6347,55.6944,-5913955.9212,-1210500.0000
11,2000-03-03,7.3,7.38,6.88,7.08,1.3365,505000,48.2022,37.6697,-74.0541,0.4393,0.5313,-0.0920,48.2177,14.1611,-56.7042,-6014955.9212,-1715500.0000
12,2000-03-06,7.6,7.6,6.86,6.99,1.3195,258500,33.7087,17.0601,-78.9189,0.4055,0.5061,-0.1007,51.0914,13.4121,-44.2050,-6182631.5969,-1974000.0000
13,2000-03-07,7.1,7.1,6.52,6.69,1.2629,338500,21.7922,10.6466,-91.1917,0.3345,0.4718,-0.1373,46.3301,12.3737,-105.0212,-6322700.5624,-2312500.0000
14,2000-03-08,6.6,6.7,6.16,6.16,1.1628,281000,11.3690,6.4004,-100.0000,0.2352,0.4245,-0.1893,41.9829,12.3762,-153.8462,-6603700.5624,-2593500.0000
15,2000-03-09,5.81,6.09,5.67,5.67,1.0703,197500,6.8778,3.5865,-100.0000,0.0917,0.3579,-0.2663,36.0452,13.4955,-168.7873,-6801200.5624,-2791000.0000
